stop_id,stop_name
740052143,Amorvägen
740071238,Ampiaislantto
740012991,Amsberg Bilskroten
740072360,Amsbergs skola
740025176,Amshyttan
740064021,Amundagärde
740035280,Amundgård
740037288,Amundshylte
740046704,Amundshögen
740039018,Amundstorp
740061195,Analysvägen
740062743,Anatomivägen
740067462,Anbudsvägen
740038291,Andalavägen
740011752,Andalavägen (Strängnäs)
740067053,Andeboda
740067826,Andelunden
740061784,Anders Knapes väg
740053908,Anders Ljungstedts gy.
740050113,Anders Petters väg
740046225,Anders Reimers väg
740017822,Anders-Svens
740044800,Andersbenning
740026483,Andersberg
740074841,Andersberg (Vassunda)
740011800,Andersbo (Heby)
740009805,Andersby
740026696,Andersfors
740035387,Andersgård
740015479,Andersgårdsvägen
740037608,Andersl/Nya Kyrkog
740063929,Anderslid
740036539,Anderslund
740037607,Anderslund
740039215,Anderslund
740024341,Anderslundavägen
740076301,Anderslöv Hemmansvägen
740030551,Anderslöv Idrottsvägen
740030486,Anderslöv Landsvägen
740001097,Anderslöv torget
740062528,Anderstorp
740040266,Anderstorp Allégatan
740040264,Anderstorp Brogatan
740061996,Anderstorp hälsocentral
740040263,Anderstorp Knallabo
740040267,Anderstorp Långgatan
740070423,Anderstorp Motorbanan
740040323,Anderstorp Oljevägen
740040311,Anderstorp Ringvägen
740040322,Anderstorp Räddningsstationen
740000518,Anderstorp station
740063501,Anderstorp Terrassvägen
740040327,Anderstorp Tokarp
740040309,Anderstorp Torget
740071440,Anderstorpleden
740040310,Anderstorps kyrka
740070736,Andersvattnet
740066589,Andersvägen
740046208,Andra tvärvägen
740037195,Andreaskyrkan
740069809,Andregatan
740048563,Andrens Sörboda
740029517,Andviken
740063763,Andviken
740035322,Anebodavägen
740040906,Aneby Allianskyrkan
740040929,Aneby gård
740040907,Aneby Hullarydsvägen
740025593,Aneby Konserthuset
740040944,Aneby Rydholmsvägen
740040931,Aneby Röttlegatan
740000379,Aneby station
740040952,Aneby Storgatan
740025592,Aneby torget
740059076,Anekdotgatan
740041467,Aneröd
740066883,Anevägen
740041376,Anfasteröd
740063522,Anfastorp
740025004,Anga kyrka
740020606,Angarn kyrka
740067721,Angarns-Veda
740010025,Angelstad Nyhemsvägen
740039567,Angerdshestravägen
740025606,Angered centrum
740015553,Angered Kyrka
740059074,Angereds Storåsväg
740059073,Angeredsvinkeln
740071039,Anglarve
740067772,Angleterre
740013951,Angnäs
740032921,Angrimseröd
740023696,Angryd
740067851,Angskär-Skogsvik
740067852,Angskär-Solbacken
740027679,Angsta
740015101,Angsta (Örnsköldsvik)
740016201,Angård
740031886,Angöringen
740065202,Anhalten
740066700,Anhaltsvägen
740032771,Aniara
740067546,Aniaraplatsen
740047017,Anisstigen
740075682,Ankarede vägskäl
740031823,Ankaret
740050744,Ankaret
740062797,Ankaret
740037329,Ankarkronan
740014083,Ankarsrum bruk
740013640,Ankarsrum skola
740000907,Ankarsrum station
740038855,Ankarsrum väg 40
740014094,Ankarsrums skola vändplan
740049188,Ankarstocksvägen
740001349,Ankarudden brygga
740029173,Ankarvattnet
740062057,Ankarvägen
740066552,Ankdammsgatan
740014009,Anklam
740034929,Anna Trolles väg
740034805,Annae Gärde
740063061,Annagatan
740074630,Annagatan
740046626,Annaskolan Dormsjö
740009109,Anneberg
740019972,Anneberg
740020187,Anneberg
740038622,Anneberg
740066329,Anneberg
740038397,Anneberg (Kilen)
740038387,Anneberg (Länna)
740025532,Anneberg Flexator
740040065,Anneberg Hagalundsgatan
740040067,Anneberg Johannesbergsvägen
740010026,Anneberg kiosken
740000285,Anneberg station
740061647,Annebergs plantskola
740040066,Annebergs skola
740037614,Annebergsgatan
740031943,Annebergsvägen
